Discover Checking,555.12,0
Discover Credit,-198.12,198.12
Discover Rewards,112,0
Bank Of America Savings,40000,0
Bank Of America Checking,8500,0
Bank of America Credit,-344.24,334.24
Bestbuy Credit,-809.8,0
Samsung Credit,-1425.71,150
Merril Edge Investments,47506.55,0
Coinbase Crypto,846,0
Uphold Currency,750.65,0
Robinhood,5422.26,0
Ally,0,0
TIAA 403K,39313,0
Baylor 401K,52900.97,0
Nokia 401K,68451.61,0
Baylor Income,7387.18,0
VectorNav Income,2346,0
Granbury Income,1100,0
Granbury Loan,-80198.26,500
TXU Energy,82.73,0
ATT Internet,62,0
Auburn Hills Loan,-395492.57,0
Sunnyvale Utilities,86.94,86.94
Atmos Energy,23.34,0
MS Office,10.81,0
Netflix,17.31,0
Fitness Connection,10.81,0
Spotify,10.81,0
America Airlines Credit,200,0
Scottish Write,0,0
Nebraska Furniture Mart,0,0
ChildCare,200,0
HealthCare,0,0
Hulu,60,0
AHSP,0,0
Home Insurance,1343,0
Car Insurance,0,0
HOA,948,0
Amazon Prime,0,0
Shipt,0,0
Granbury Mortgage,1564.45,0
Auburn Mortgage,2767.16,0
Johnson Allowance,200,0
Teena Allowance,1000,0
